ticket_id,routing,error,triage_time_s,resolve_time_s,llm_time_s,tool_time_s,total_time_s,num_llm_calls,num_tool_calls,search_knowledge_base_time_s,get_system_spec_time_s,search_faq_time_s
INC-00245,L2_ESCALATION,,0.628,0.0,0.628,0.0,0.628,1,0,0.0,0.0,0.0
INC-00018,L2_ESCALATION,,0.698,0.0,0.698,0.0,0.698,1,0,0.0,0.0,0.0
INC-00125,L2_ESCALATION,,0.501,0.0,0.501,0.0,0.501,1,0,0.0,0.0,0.0
INC-00183,L2_ESCALATION,,0.791,0.0,0.791,0.0,0.791,1,0,0.0,0.0,0.0
INC-00128,L1_GUIDED,,0.992,6.738,3.671,4.059,7.73,4,6,3.088,0.0,0.971
INC-00239,L1_GUIDED,,0.605,5.845,3.119,3.331,6.451,4,6,2.332,0.001,0.999
INC-00140,L1_GUIDED,,0.576,4.696,2.404,2.868,5.272,3,5,1.861,0.0,1.006
INC-00290,L1_GUIDED,,0.582,5.214,2.579,3.218,5.796,3,5,2.144,0.001,1.073
INC-00175,L2_ESCALATION,,0.579,0.0,0.579,0.0,0.579,1,0,0.0,0.0,0.0
INC-00207,L1_GUIDED,,0.773,4.339,2.364,2.748,5.112,3,5,1.656,0.0,1.091
INC-00098,L2_ESCALATION,,1.104,0.0,1.104,0.0,1.104,1,0,0.0,0.0,0.0
INC-00295,L2_ESCALATION,,0.806,0.0,0.806,0.0,0.806,1,0,0.0,0.0,0.0
INC-00205,L2_ESCALATION,,0.483,0.0,0.483,0.0,0.483,1,0,0.0,0.0,0.0
INC-00109,L2_ESCALATION,,0.548,0.0,0.548,0.0,0.548,1,0,0.0,0.0,0.0
INC-00131,L2_ESCALATION,,0.655,0.0,0.655,0.0,0.655,1,0,0.0,0.0,0.0
INC-00144,L2_ESCALATION,,0.636,0.0,0.636,0.0,0.636,1,0,0.0,0.0,0.0
INC-00318,L1_GUIDED,,0.495,5.189,2.579,3.105,5.684,3,5,2.074,0.001,1.03
INC-00051,L2_ESCALATION,,0.802,0.0,0.802,0.0,0.802,1,0,0.0,0.0,0.0
INC-00270,L2_ESCALATION,,0.847,0.0,0.847,0.0,0.847,1,0,0.0,0.0,0.0
INC-00044,L2_ESCALATION,,0.582,0.0,0.582,0.0,0.582,1,0,0.0,0.0,0.0
INC-00093,L2_ESCALATION,,0.685,0.0,0.685,0.0,0.685,1,0,0.0,0.0,0.0
INC-00092,L2_ESCALATION,,0.559,0.0,0.559,0.0,0.559,1,0,0.0,0.0,0.0
INC-00123,L1_GUIDED,,0.645,5.405,2.879,3.171,6.05,3,5,2.213,0.001,0.958
INC-00006,L2_ESCALATION,,0.728,0.0,0.728,0.0,0.728,1,0,0.0,0.0,0.0
INC-00235,L2_ESCALATION,,0.698,0.0,0.698,0.0,0.698,1,0,0.0,0.0,0.0
INC-00025,L2_ESCALATION,,0.815,0.0,0.815,0.0,0.815,1,0,0.0,0.0,0.0
INC-00311,L2_ESCALATION,,0.692,0.0,0.692,0.0,0.692,1,0,0.0,0.0,0.0
INC-00301,L2_ESCALATION,,0.711,0.0,0.711,0.0,0.711,1,0,0.0,0.0,0.0
INC-00292,L1_GUIDED,,0.849,5.166,3.095,2.92,6.015,3,5,1.965,0.0,0.955
INC-00103,L2_ESCALATION,,0.794,0.0,0.794,0.0,0.794,1,0,0.0,0.0,0.0
INC-00214,L2_ESCALATION,,0.488,0.0,0.488,0.0,0.488,1,0,0.0,0.0,0.0
INC-00081,L1_GUIDED,,0.591,5.004,2.67,2.925,5.595,3,5,1.942,0.0,0.983
INC-00138,L2_ESCALATION,,0.504,0.0,0.504,0.0,0.504,1,0,0.0,0.0,0.0
INC-00099,L2_ESCALATION,,0.752,0.0,0.752,0.0,0.752,1,0,0.0,0.0,0.0
INC-00013,L2_ESCALATION,,0.587,0.0,0.587,0.0,0.587,1,0,0.0,0.0,0.0
INC-00156,L2_ESCALATION,,0.958,0.0,0.958,0.0,0.958,1,0,0.0,0.0,0.0
INC-00185,L1_GUIDED,,0.667,6.435,3.607,3.495,7.102,4,6,2.523,0.0,0.972
INC-00179,L2_ESCALATION,,0.655,0.0,0.655,0.0,0.655,1,0,0.0,0.0,0.0
INC-00034,L2_ESCALATION,,1.008,0.0,1.008,0.0,1.008,1,0,0.0,0.0,0.0
INC-00275,L2_ESCALATION,,0.714,0.0,0.714,0.0,0.714,1,0,0.0,0.0,0.0
INC-00194,L2_ESCALATION,,0.627,0.0,0.627,0.0,0.627,1,0,0.0,0.0,0.0
INC-00211,L2_ESCALATION,,0.618,0.0,0.618,0.0,0.618,1,0,0.0,0.0,0.0
INC-00126,L2_ESCALATION,,0.554,0.0,0.554,0.0,0.554,1,0,0.0,0.0,0.0
INC-00200,L2_ESCALATION,,0.521,0.0,0.521,0.0,0.521,1,0,0.0,0.0,0.0
INC-00146,L2_ESCALATION,,0.605,0.0,0.605,0.0,0.605,1,0,0.0,0.0,0.0
INC-00274,L1_GUIDED,,0.751,6.422,4.136,3.038,7.174,3,5,2.074,0.0,0.964
INC-00264,L2_ESCALATION,,0.915,0.0,0.915,0.0,0.915,1,0,0.0,0.0,0.0
INC-00012,L2_ESCALATION,,0.673,0.0,0.673,0.0,0.673,1,0,0.0,0.0,0.0
INC-00250,L2_ESCALATION,,0.779,0.0,0.779,0.0,0.779,1,0,0.0,0.0,0.0
INC-00091,L2_ESCALATION,,0.733,0.0,0.733,0.0,0.733,1,0,0.0,0.0,0.0
INC-00273,L2_ESCALATION,,0.757,0.0,0.757,0.0,0.757,1,0,0.0,0.0,0.0
INC-00148,L2_ESCALATION,,0.536,0.0,0.536,0.0,0.536,1,0,0.0,0.0,0.0
INC-00293,L2_ESCALATION,,0.906,0.0,0.906,0.0,0.906,1,0,0.0,0.0,0.0
INC-00244,L2_ESCALATION,,0.575,0.0,0.575,0.0,0.575,1,0,0.0,0.0,0.0
INC-00075,L2_ESCALATION,,0.851,0.0,0.851,0.0,0.851,1,0,0.0,0.0,0.0
INC-00040,L1_GUIDED,,0.56,5.092,2.708,2.944,5.652,3,5,2.004,0.001,0.938
INC-00165,L2_ESCALATION,,0.446,0.0,0.446,0.0,0.446,1,0,0.0,0.0,0.0
INC-00028,L2_ESCALATION,,0.586,0.0,0.586,0.0,0.586,1,0,0.0,0.0,0.0
INC-00297,L2_ESCALATION,,0.495,0.0,0.495,0.0,0.495,1,0,0.0,0.0,0.0
INC-00176,L1_GUIDED,,0.578,4.684,2.668,2.595,5.262,3,5,1.628,0.0,0.966
INC-00261,L2_ESCALATION,,0.504,0.0,0.504,0.0,0.504,1,0,0.0,0.0,0.0
INC-00046,L2_ESCALATION,,0.789,0.0,0.789,0.0,0.789,1,0,0.0,0.0,0.0
INC-00152,L2_ESCALATION,,0.817,0.0,0.817,0.0,0.817,1,0,0.0,0.0,0.0
INC-00042,L2_ESCALATION,,0.608,0.0,0.608,0.0,0.608,1,0,0.0,0.0,0.0
INC-00117,L1_GUIDED,,0.565,5.138,2.721,2.982,5.703,3,5,2.014,0.0,0.968
INC-00228,L1_GUIDED,,0.806,4.731,2.648,2.889,5.537,3,5,1.909,0.0,0.979
INC-00160,L2_ESCALATION,,0.713,0.0,0.713,0.0,0.713,1,0,0.0,0.0,0.0
INC-00272,L2_ESCALATION,,0.458,0.0,0.458,0.0,0.458,1,0,0.0,0.0,0.0
INC-00174,L2_ESCALATION,,0.538,0.0,0.538,0.0,0.538,1,0,0.0,0.0,0.0
INC-00222,L2_ESCALATION,,0.807,0.0,0.807,0.0,0.807,1,0,0.0,0.0,0.0
INC-00173,L2_ESCALATION,,0.719,0.0,0.719,0.0,0.719,1,0,0.0,0.0,0.0
INC-00069,L2_ESCALATION,,0.551,0.0,0.551,0.0,0.551,1,0,0.0,0.0,0.0
INC-00022,L2_ESCALATION,,0.712,0.0,0.712,0.0,0.712,1,0,0.0,0.0,0.0
INC-00153,L2_ESCALATION,,0.806,0.0,0.806,0.0,0.806,1,0,0.0,0.0,0.0
INC-00193,L2_ESCALATION,,0.623,0.0,0.623,0.0,0.623,1,0,0.0,0.0,0.0
INC-00280,L2_ESCALATION,,0.553,0.0,0.553,0.0,0.553,1,0,0.0,0.0,0.0
INC-00168,L2_ESCALATION,,0.474,0.0,0.474,0.0,0.474,1,0,0.0,0.0,0.0
INC-00167,L2_ESCALATION,,0.843,0.0,0.843,0.0,0.843,1,0,0.0,0.0,0.0
INC-00159,L2_ESCALATION,,0.954,0.0,0.954,0.0,0.954,1,0,0.0,0.0,0.0
INC-00236,L2_ESCALATION,,0.63,0.0,0.63,0.0,0.63,1,0,0.0,0.0,0.0
INC-00268,L2_ESCALATION,,0.833,0.0,0.833,0.0,0.833,1,0,0.0,0.0,0.0
INC-00271,L2_ESCALATION,,0.869,0.0,0.869,0.0,0.869,1,0,0.0,0.0,0.0
INC-00106,L2_ESCALATION,,0.726,0.0,0.726,0.0,0.726,1,0,0.0,0.0,0.0
INC-00039,L2_ESCALATION,,0.467,0.0,0.467,0.0,0.467,1,0,0.0,0.0,0.0
INC-00260,L2_ESCALATION,,0.8,0.0,0.8,0.0,0.8,1,0,0.0,0.0,0.0
INC-00157,L2_ESCALATION,,0.7,0.0,0.7,0.0,0.7,1,0,0.0,0.0,0.0
INC-00033,L2_ESCALATION,,0.703,0.0,0.703,0.0,0.703,1,0,0.0,0.0,0.0
INC-00302,L2_ESCALATION,,0.585,0.0,0.585,0.0,0.585,1,0,0.0,0.0,0.0
INC-00256,L2_ESCALATION,,0.568,0.0,0.568,0.0,0.568,1,0,0.0,0.0,0.0
INC-00188,L2_ESCALATION,,0.577,0.0,0.577,0.0,0.577,1,0,0.0,0.0,0.0
INC-00111,L2_ESCALATION,,0.704,0.0,0.704,0.0,0.704,1,0,0.0,0.0,0.0
INC-00299,L2_ESCALATION,,0.572,0.0,0.572,0.0,0.572,1,0,0.0,0.0,0.0
INC-00122,L2_ESCALATION,,0.568,0.0,0.568,0.0,0.568,1,0,0.0,0.0,0.0
INC-00252,L2_ESCALATION,,0.915,0.0,0.915,0.0,0.915,1,0,0.0,0.0,0.0
INC-00233,L2_ESCALATION,,0.91,0.0,0.91,0.0,0.91,1,0,0.0,0.0,0.0
INC-00023,L2_ESCALATION,,0.779,0.0,0.779,0.0,0.779,1,0,0.0,0.0,0.0
INC-00218,L1_GUIDED,,0.591,7.548,3.877,4.262,8.139,5,7,3.309,0.0,0.952
INC-00142,L2_ESCALATION,,0.828,0.0,0.828,0.0,0.828,1,0,0.0,0.0,0.0
INC-00043,L2_ESCALATION,,0.515,0.0,0.515,0.0,0.515,1,0,0.0,0.0,0.0
INC-00047,L2_ESCALATION,,0.55,0.0,0.55,0.0,0.55,1,0,0.0,0.0,0.0
INC-00269,L2_ESCALATION,,0.481,0.0,0.481,0.0,0.481,1,0,0.0,0.0,0.0
INC-00115,L2_ESCALATION,,0.542,0.0,0.542,0.0,0.542,1,0,0.0,0.0,0.0
INC-00020,L2_ESCALATION,,0.66,0.0,0.66,0.0,0.66,1,0,0.0,0.0,0.0
INC-00053,L2_ESCALATION,,0.729,0.0,0.729,0.0,0.729,1,0,0.0,0.0,0.0
INC-00110,L1_GUIDED,,0.559,6.741,3.528,3.772,7.3,4,6,2.854,0.001,0.918
INC-00118,L2_ESCALATION,,0.56,0.0,0.56,0.0,0.56,1,0,0.0,0.0,0.0
INC-00237,L2_ESCALATION,,0.75,0.0,0.75,0.0,0.75,1,0,0.0,0.0,0.0
INC-00238,L2_ESCALATION,,0.688,0.0,0.688,0.0,0.688,1,0,0.0,0.0,0.0
INC-00026,L2_ESCALATION,,0.745,0.0,0.745,0.0,0.745,1,0,0.0,0.0,0.0
INC-00169,L2_ESCALATION,,0.491,0.0,0.491,0.0,0.491,1,0,0.0,0.0,0.0
INC-00212,L2_ESCALATION,,0.602,0.0,0.602,0.0,0.602,1,0,0.0,0.0,0.0
INC-00161,L1_GUIDED,,0.774,6.692,3.32,4.146,7.466,4,6,3.086,0.002,1.059
INC-00304,L2_ESCALATION,,0.634,0.0,0.634,0.0,0.634,1,0,0.0,0.0,0.0
INC-00021,L2_ESCALATION,,0.692,0.0,0.692,0.0,0.692,1,0,0.0,0.0,0.0
INC-00139,L1_GUIDED,,0.577,5.076,2.999,2.654,5.653,3,5,1.599,0.001,1.053
INC-00112,L1_GUIDED,,0.591,9.629,3.164,7.056,10.221,6,8,6.053,0.0,1.003
INC-00096,L1_GUIDED,,0.603,8.677,4.325,4.956,9.281,6,8,3.98,0.0,0.976
INC-00170,L2_ESCALATION,,0.776,0.0,0.776,0.0,0.776,1,0,0.0,0.0,0.0
INC-00037,L1_GUIDED,,0.722,6.929,3.906,3.744,7.65,4,6,2.758,0.0,0.985
INC-00017,L1_GUIDED,,0.706,7.519,4.577,3.648,8.225,4,6,2.665,0.001,0.983
INC-00074,L1_GUIDED,,0.671,10.436,3.709,7.399,11.107,6,8,6.376,0.001,1.022
INC-00291,L2_ESCALATION,,0.565,0.0,0.565,0.0,0.565,1,0,0.0,0.0,0.0
INC-00079,L2_ESCALATION,,0.58,0.0,0.58,0.0,0.58,1,0,0.0,0.0,0.0
INC-00319,L2_ESCALATION,,0.537,0.0,0.537,0.0,0.537,1,0,0.0,0.0,0.0
INC-00281,L2_ESCALATION,,0.732,0.0,0.732,0.0,0.732,1,0,0.0,0.0,0.0
INC-00186,L1_GUIDED,,0.699,6.607,3.414,3.891,7.306,4,6,2.951,0.001,0.939
INC-00164,L1_GUIDED,,0.633,10.134,3.794,6.973,10.767,6,8,6.002,0.0,0.97
INC-00247,L2_ESCALATION,,0.713,0.0,0.713,0.0,0.713,1,0,0.0,0.0,0.0
INC-00132,L1_GUIDED,,0.733,7.238,4.005,3.966,7.971,4,6,3.025,0.001,0.94
INC-00166,L2_ESCALATION,,0.61,0.0,0.61,0.0,0.61,1,0,0.0,0.0,0.0
INC-00266,L1_GUIDED,,0.545,9.374,5.68,4.239,9.919,5,7,3.049,0.002,1.188
INC-00246,L2_ESCALATION,,0.544,0.0,0.544,0.0,0.544,1,0,0.0,0.0,0.0
INC-00143,L2_ESCALATION,,0.581,0.0,0.581,0.0,0.581,1,0,0.0,0.0,0.0
INC-00289,L2_ESCALATION,,0.688,0.0,0.688,0.0,0.688,1,0,0.0,0.0,0.0
INC-00078,L2_ESCALATION,,0.643,0.0,0.643,0.0,0.643,1,0,0.0,0.0,0.0
INC-00158,L2_ESCALATION,,0.543,0.0,0.543,0.0,0.543,1,0,0.0,0.0,0.0
INC-00136,L1_GUIDED,,0.901,5.082,3.185,2.798,5.983,3,4,1.855,0.0,0.943
INC-00150,L2_ESCALATION,,0.739,0.0,0.739,0.0,0.739,1,0,0.0,0.0,0.0
INC-00230,L1_GUIDED,,0.516,4.856,2.782,2.591,5.373,3,5,1.62,0.0,0.97
INC-00278,L2_ESCALATION,,0.771,0.0,0.771,0.0,0.771,1,0,0.0,0.0,0.0
INC-00071,L2_ESCALATION,,0.798,0.0,0.798,0.0,0.798,1,0,0.0,0.0,0.0
INC-00313,L2_ESCALATION,,0.687,0.0,0.687,0.0,0.687,1,0,0.0,0.0,0.0
INC-00288,L2_ESCALATION,,0.808,0.0,0.808,0.0,0.808,1,0,0.0,0.0,0.0
INC-00145,L2_ESCALATION,,0.853,0.0,0.853,0.0,0.853,1,0,0.0,0.0,0.0
INC-00031,L2_ESCALATION,,0.541,0.0,0.541,0.0,0.541,1,0,0.0,0.0,0.0
INC-00029,L1_GUIDED,,0.999,6.725,4.167,3.557,7.724,4,6,2.573,0.0,0.983
INC-00305,L2_ESCALATION,,0.627,0.0,0.627,0.0,0.627,1,0,0.0,0.0,0.0
INC-00114,L1_GUIDED,,0.516,6.673,3.24,3.949,7.189,4,6,2.98,0.0,0.969
INC-00197,L2_ESCALATION,,0.467,0.0,0.467,0.0,0.467,1,0,0.0,0.0,0.0
INC-00070,L2_ESCALATION,,0.563,0.0,0.563,0.0,0.563,1,0,0.0,0.0,0.0
INC-00248,L1_GUIDED,,0.512,6.673,3.403,3.782,7.185,4,6,2.503,0.0,1.279
INC-00154,L2_ESCALATION,,0.646,0.0,0.646,0.0,0.646,1,0,0.0,0.0,0.0
INC-00147,L1_GUIDED,,0.835,7.034,4.094,3.774,7.869,4,6,2.831,0.0,0.943
INC-00068,L1_GUIDED,,0.636,4.488,2.404,2.719,5.124,3,5,1.751,0.0,0.968
INC-00221,L1_GUIDED,,0.523,4.522,2.264,2.782,5.046,3,5,1.799,0.001,0.982
INC-00316,L1_GUIDED,,0.658,10.631,3.934,7.354,11.289,6,8,6.355,0.0,0.999
INC-00227,L1_GUIDED,,0.614,10.205,5.095,5.725,10.819,6,8,4.711,0.001,1.013
INC-00133,L2_ESCALATION,,0.625,0.0,0.625,0.0,0.625,1,0,0.0,0.0,0.0
INC-00058,L1_GUIDED,,0.612,4.633,2.309,2.936,5.245,3,5,1.955,0.0,0.98
INC-00206,L2_ESCALATION,,0.663,0.0,0.663,0.0,0.663,1,0,0.0,0.0,0.0
INC-00240,L2_ESCALATION,,0.727,0.0,0.727,0.0,0.727,1,0,0.0,0.0,0.0
INC-00226,L1_GUIDED,,0.619,4.651,2.565,2.705,5.269,3,5,1.745,0.0,0.959
INC-00102,L1_GUIDED,,0.613,6.599,3.221,3.992,7.213,4,6,3.01,0.0,0.981
INC-00234,L2_ESCALATION,,0.579,0.0,0.579,0.0,0.579,1,0,0.0,0.0,0.0
INC-00041,L1_GUIDED,,0.808,5.016,3.054,2.77,5.824,3,5,1.777,0.0,0.993
INC-00210,L2_ESCALATION,,0.792,0.0,0.792,0.0,0.792,1,0,0.0,0.0,0.0
INC-00016,L2_ESCALATION,,0.642,0.0,0.642,0.0,0.642,1,0,0.0,0.0,0.0
INC-00101,L1_GUIDED,,0.724,5.389,3.238,2.875,6.113,3,5,1.877,0.0,0.998
INC-00141,L1_GUIDED,,0.557,5.321,3.026,2.851,5.877,3,5,1.911,0.0,0.94
INC-00265,L1_GUIDED,,0.935,5.746,3.511,3.17,6.681,3,5,2.125,0.001,1.044
INC-00062,L1_GUIDED,,0.594,7.585,5.164,3.015,8.178,3,5,1.995,0.0,1.02
INC-00259,L2_ESCALATION,,0.595,0.0,0.595,0.0,0.595,1,0,0.0,0.0,0.0
INC-00056,L2_ESCALATION,,0.575,0.0,0.575,0.0,0.575,1,0,0.0,0.0,0.0
INC-00314,L2_ESCALATION,,0.751,0.0,0.751,0.0,0.751,1,0,0.0,0.0,0.0
INC-00262,L2_ESCALATION,,0.662,0.0,0.662,0.0,0.662,1,0,0.0,0.0,0.0
INC-00163,L1_GUIDED,,0.522,5.73,3.274,2.978,6.252,3,5,2.004,0.0,0.973
INC-00100,L1_GUIDED,,0.613,5.004,2.593,3.024,5.617,3,5,2.061,0.0,0.962
INC-00306,L2_ESCALATION,,0.718,0.0,0.718,0.0,0.718,1,0,0.0,0.0,0.0
INC-00094,L1_GUIDED,,0.554,5.451,2.735,3.271,6.005,3,5,2.004,0.0,1.266
INC-00038,L1_GUIDED,,0.621,5.627,3.219,3.029,6.248,3,5,2.006,0.0,1.023
INC-00257,L1_GUIDED,,0.59,5.981,2.961,3.611,6.571,3,5,2.55,0.002,1.059
